date,league,home,away,market,selection,line,odds_open,stake,result,pnl,equity,p_model,p_mkt
2025-05-25,E0,Ipswich,West Ham,1X2,A,,2.2,19.68719504053499,WIN,23.624634048641994,515.8045100620168,1.0,0.4324734446130501
2025-05-25,E0,Tottenham,Brighton,1X2,D,,4.33,7.286535276007059,LOSS,-7.286535276007059,508.51797478600975,0.5025484561920166,0.21843546363997918
2025-05-25,I1,Torino,Roma,1X2,D,,4.2,14.24679420957311,LOSS,-14.24679420957311,494.2711805764366,0.77173912525177,0.22528633671632445
2025-05-25,SP1,Ath Bilbao,Barcelona,OU2.5,Under,2.5,2.5,2.5936015732055924,LOSS,-2.5936015732055924,491.677579003231,0.47870987653521013,0.3796526054590571
2025-05-25,I1,Atalanta,Parma,1X2,D,,3.5,7.353348802916167,LOSS,-7.353348802916167,484.32423020031484,0.5527791380882263,0.27027027027027023
2025-05-25,I1,Empoli,Verona,1X2,D,,3.2,8.969577975056623,LOSS,-8.969577975056623,475.35465222525823,0.6308087110519409,0.29585311585697016
2025-05-25,I1,Venezia,Juventus,1X2,D,,4.33,4.943122293864788,LOSS,-4.943122293864788,470.41152993139343,0.6308087110519409,0.21819250543776147
2025-05-25,I1,Lazio,Lecce,AH,Home,-1.0,1.9,4.88739505215158,PUSH,0.0,470.41152993139343,0.9200275451606731,
2025-05-25,E0,Fulham,Man City,1X2,D,,4.2,5.984939056103683,LOSS,-5.984939056103683,464.4265908752898,0.7227723002433777,0.22396416573348263
2025-05-25,E0,Bournemouth,Leicester,AH,Home,-1.5,1.9,5.3938701815073085,WIN,4.854483163356577,469.28107403864635,0.9664268750673692,
2025-05-25,E0,Liverpool,Crystal Palace,OU2.5,Under,2.5,3.5,1.8853554426507027,WIN,4.713388606626757,473.99446264527313,0.42919785382908615,0.27083333333333337
2025-08-15,SP1,Girona,Vallecano,1X2,A,,3.3,9.479889252905464,WIN,21.803745281682566,495.7982079269557,1.0,0.2871870397643594
2025-08-15,F1,Rennes,Marseille,1X2,H,,3.5,18.78313720029051,WIN,46.95784300072628,542.7560509276819,0.9622257351875305,0.2717731541152642
2025-08-15,E0,Liverpool,Bournemouth,OU2.5,Under,2.5,3.2,3.3742064480362686,LOSS,-3.3742064480362686,539.3818444796457,0.4193512699701816,0.2982456140350877
2025-08-16,F1,Nice,Toulouse,1X2,D,,3.3,9.911291360707818,LOSS,-9.911291360707818,529.4705531189379,0.6232056021690369,0.28668941979522183
2025-08-16,E0,Aston Villa,Newcastle,1X2,H,,2.25,11.869929759981753,LOSS,-11.869929759981753,517.6006233589561,0.7558123469352722,0.4134419551934827
2025-08-16,E0,Sunderland,West Ham,AH,Away,0.25,1.95,3.1072250269233757,WIN,2.951863775577207,520.5524871345333,0.629804629674483,
2025-08-16,SP1,Alaves,Levante,OU2.5,Over,2.5,2.63,4.694457671237072,WIN,7.651966004116427,528.2044531386497,0.5199591365958355,0.36319612590799033
